,Lat,Long,Insolation
2242,52.885434,-1.7794792,1054.4919
2243,53.500046,-0.1179434,1116.4761
2244,52.522155,-2.9603674,1061.4168
2245,53.142862,-3.7217084,1122.6585
2246,54.590989,-6.7242024,1027.6439
2247,51.715805,-2.5089395,1102.7648
2248,55.529864,-5.5677743,1016.1828
2249,57.466202,-2.7528779,981.6873
2250,55.936813,-3.0430982,998.7589
2251,50.899863,-0.65133813,1199.2949
2252,56.915161,-3.8915318,938.307
2253,56.32697,-5.9655535,980.3921
2254,52.703037,-2.8163393,1063.6419
2255,56.742029,-3.3922995,966.8135
2256,58.01797,-6.4901247,948.7389
2257,51.336165,0.22280247,1159.133
2258,57.648074,-1.9189673,1002.7729
2259,51.89564,-1.4937035,1111.7499
2260,50.231343,-5.2973674,1175.6409
2261,54.773073,-2.0802408,997.928
2262,57.366482,-3.7484233,960.7928
2263,50.995827,-1.3610562,1178.0248
2264,52.242195,-0.17162143,1143.181
2265,53.416452,-0.57305816,1110.019
2266,54.862744,-1.7688374,991.9582
2267,51.320358,0.9396886,1203.2482
2268,54.29,-7.4586859,1028.54
2269,53.045709,-4.1653887,1157.379
2270,58.076582,-4.2917675,952.8042
2271,56.350201,-5.1583579,915.8041
2272,54.052937,-2.5370818,1041.5572
2273,57.082985,-4.5601849,912.9618
2274,52.062396,-3.8257198,1117.4377
2275,54.596924,-6.5699483,1022.8649
2276,50.811462,-3.2087266,1160.2391
2277,55.039626,-2.8631679,978.4552
2278,51.237385,0.64784046,1182.9152
2279,53.234855,-0.42927161,1119.9243
2280,53.873214,-1.4701402,1048.1269
2281,57.879158,-5.1226305,900.025
2282,51.62429,-2.7968284,1115.9953
2283,52.795719,-2.0765424,1048.2316
2284,56.251862,-5.4732255,943.7784
2285,52.431034,-0.89926757,1135.5553
2286,58.101413,-6.6705227,956.956
2287,56.650293,-3.5520206,961.3549
2288,51.626791,-2.2190155,1120.654
2289,52.793853,-2.6697372,1070.5419
2290,57.094727,-3.9006704,948.1059
2291,55.042456,-2.2372678,988.5897
2292,51.806268,-1.6397416,1113.7349
2293,54.207264,-4.5324278,1128.1279
2294,51.248941,0.075295923,1144.6234
2295,53.055073,-3.5689948,1091.6587
2296,54.31622,-6.8464898,1041.2525
2297,52.61593,-1.9285308,1040.4649
2298,55.187716,-4.9085228,1038.8313
2299,50.991322,-0.79117778,1185.8507
2300,53.422125,-1.1748049,1077.6498
2301,54.389977,-4.3896328,1100.4181
2302,55.665864,-3.1948539,975.7107
2303,51.986065,-2.3663819,1078.5325
2304,53.962318,-1.3165945,1055.5652
2305,54.200534,-7.4468515,1034.3963
2306,57.80734,-4.2746573,954.0012
2307,57.169237,-4.7315821,909.2648
2308,50.906578,-2.5000604,1172.9565
2309,51.708894,-0.62741642,1135.904
2310,55.470432,-4.2963711,1014.1338
2311,54.948568,-3.0173448,990.3285
2312,55.982818,-5.4490428,971.1239
2313,54.372401,-7.6238056,1023.5501
2314,57.968843,-5.130433,915.1244
2315,56.463671,-4.0313385,934.9007
2316,50.637849,-2.0729714,1173.8531
2317,51.086438,-1.5025837,1167.0998
2318,52.324408,0.27200952,1141.3355
2319,55.019471,-7.2443798,1029.0676
2320,53.334506,-1.627005,1065.3111
2321,57.233385,-5.7308777,917.3139
2322,55.759424,-2.719651,989.7832
2323,52.311673,0.85823324,1148.6943
2324,57.643387,-3.0915849,979.5461
2325,51.888601,-3.3827237,1102.0481
2326,52.700678,-0.8924973,1128.299
2327,55.114116,-4.119069,1013.254
2328,52.034908,1.132183,1163.667
2329,51.714229,-1.206244,1129.1367
2330,54.300183,-4.3844264,1111.221
2331,51.161524,-0.071653272,1150.8429
2332,55.480666,-3.6639531,983.0237
2333,52.526032,-1.9286763,1038.7116
2334,52.880384,-3.1168657,1055.0988
2335,53.957306,-0.70706399,1096.2685
2336,56.19158,-4.1781057,949.0817
2337,51.622022,-0.91894932,1138.9395
2338,54.454558,-7.7895846,1027.5561
2339,58.233572,-5.3241444,934.5356
2340,53.219519,-4.4737486,1185.2141
2341,52.435943,-2.2230096,1047.3481
2342,54.24424,-6.3772003,1059.2694
2343,52.057611,0.1125703,1144.9298
2344,56.989778,-4.7184142,907.1835
2345,50.817194,-1.6473992,1199.2719
2346,55.851143,-2.2421759,1012.678
2347,55.061702,-6.152697,1018.2516
2348,54.051222,-1.1623934,1064.0673
2349,55.995327,-4.9689295,955.3813
2350,54.857317,-3.1708255,1004.0887
2351,55.377591,-4.4488423,1020.7628
2352,51.98016,-0.76474724,1133.0874
2353,50.997022,-2.358533,1169.6871
2354,57.255245,-4.9037778,903.436
2355,55.388604,-3.817961,988.6719
2356,51.433415,-0.20409484,1147.9499
2357,51.984827,-1.3470855,1100.5059
2358,53.423801,-2.5291164,1044.8253
2359,52.308035,1.004717,1148.6515
2360,54.045418,-0.55159902,1097.987
2361,52.612041,-2.9623335,1061.0307
2362,58.356312,-3.626195,956.3303
2363,56.83831,-2.5763219,1024.1268
2364,54.223161,-0.39199427,1087.3213
2365,57.552028,-3.2559569,976.27
2366,51.80033,-3.2349954,1106.8003
2367,52.045717,0.69537279,1156.1411
2368,55.848227,-2.8810064,993.1475
2369,57.138739,-5.8867119,937.3184
2370,52.791851,-1.0384818,1115.3717
2371,52.433369,-2.8113455,1064.8393
2372,55.487632,-3.0311944,956.0889
2373,54.931709,-4.2655595,1037.1562
2374,51.169553,-0.64348734,1155.967
2375,52.165326,-2.5140546,1064.2077
2376,55.798892,-5.5923652,1008.1461
2377,57.196743,-2.7473847,976.0482
2378,52.873309,-3.711011,1085.1787
2379,54.859663,-6.7556268,1011.0285
2380,53.155106,-1.7781015,1070.5763
2381,58.80913,-3.3010993,957.808
2382,51.066609,0.20986259,1174.4344
2383,57.3786,-1.9195606,1012.491
2384,52.345148,-1.4885872,1081.5821
2385,54.503472,-2.07971,1022.8351
2386,56.472595,-3.3824188,971.1623
2387,58.286583,-6.5241498,939.1852
2388,52.972691,-2.8214131,1059.6716
2389,52.693675,-0.30079164,1141.5851
2390,55.123409,-3.492237,971.7275
2391,52.975316,-2.2257796,1047.5126
2392,56.794403,-5.3594539,911.5843
2393,50.133294,-5.5705405,1162.4223
2394,53.694033,-1.6238366,1049.1397
2395,54.781858,-6.4351775,1017.3507
2396,57.62473,-4.4307112,942.0611
2397,51.880338,-3.9636253,1140.7749
2398,51.054431,0.78009512,1194.3962
2399,53.31528,0.17417022,1124.7001
2400,54.501486,-2.6973664,1061.2428
2401,55.733367,-4.6303796,1015.078
2402,51.527285,-3.5159056,1151.3388
2403,54.833711,-7.3761084,1013.168
2404,52.501137,0.42845667,1146.0229
2405,53.514255,-2.3794399,1040.2876
2406,56.53365,-5.0109502,909.9019
2407,54.94174,-3.6416149,997.5728
2408,51.700709,-0.048815252,1144.3848
2409,54.318223,-3.1554619,1063.2688
2410,51.174787,-1.2155387,1164.9244
2411,54.683211,-1.9249603,1003.753
2412,57.19894,-2.0854443,1005.712
2413,54.593139,-2.2346459,1015.4618
2414,52.075986,-1.6375761,1091.9732
2415,57.017097,-2.7437759,1003.7428
2416,50.799623,0.055324992,1193.8304
2417,50.704328,-4.3389563,1119.9411
2418,57.543614,-3.9239911,967.9631
2419,52.475508,1.4579807,1136.5957
2420,56.500907,-6.1463188,974.8291
2421,53.243278,-2.6767358,1064.932
2422,56.201253,-3.5338324,958.9411
2423,51.615283,-0.34136637,1154.2801
2424,52.255775,-2.3686017,1054.0126
2425,57.285466,-2.9150721,980.043
